"Parcel Number","Building Name","Building Address","Postal Code","Floor Area","Property Type - Self Selected","PIM Link","Year Built","Energy Audit Due Date","Energy Audit Status","point","longitude","latitude","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"3518/002","220 9TH ST","220 9TH ST","94103","23,805","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=3518/002","1924","04/01/2021","Did Not Comply","POINT (-122.413069229 37.774325462)","-122.4130692293","37.77432546151","South of Market","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0165/021","Broadway Sansome Family Housing","255 Broadway St","94111","74,268","Multifamily","https://sfplanninggis.org/PIM/?tab=Property&search=0165/021","2015",,,"POINT (-122.401628991 37.798299233)","-122.40162899056","37.79829923288","Financial District/South Beach","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0215/001","1300 CLAY ST","1300 CLAY ST","94109","477,734","Mixed Residential","https://sfplanninggis.org/PIM/?tab=Property&search=0215/001",,,,"POINT (-122.414882372 37.793621085)","-122.41488237176","37.79362108491","Nob Hill","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3785/022","149 BLUXOME ST","149 BLUXOME ST","94107","23,456","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=3785/022","1916","04/01/2030","Upcoming","POINT (-122.398913585 37.774869631)","-122.39891358531","37.77486963086","Mission Bay","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3777/051","645 BRYANT ST","645 BRYANT ST","94107","32,141","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=3777/051","1954","04/01/2014","Did Not Comply","POINT (-122.39883592 37.778266591)","-122.39883592047","37.77826659111","South of Market","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0291/013","570 Market Street","570 MARKET ST","94104","10,883","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0291/013","1922","04/01/2029","Upcoming","POINT (-122.401342388 37.789811611)","-122.40134238834","37.78981161054","Financial District/South Beach","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3765/023-B","One Rincon Hill Association","425 First St","94105","573,398","Multifamily","https://sfplanninggis.org/PIM/?tab=Property&search=3765/023-B","2008",,,"POINT (-122.392176464 37.786062535)","-122.39217646387","37.78606253492","Financial District/South Beach","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3721/025","171 Second Street","171 2ND ST","94105","20,233","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=3721/025","1912","04/01/2018","Did Not Comply","POINT (-122.398499845 37.787285019)","-122.39849984469","37.78728501865","Financial District/South Beach","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3763/016","Stillman St","77 STILLMAN ST","94107","21,805","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=3763/016","1944","04/01/2021","Did Not Comply","POINT (-122.395611313 37.781984843)","-122.39561131327","37.7819848434","Financial District/South Beach","6","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0329/001","800 Market Street","800 MARKET ST","94102","53,715","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0329/001","1908","04/01/2029","Upcoming","POINT (-122.406615763 37.78546976)","-122.40661576277","37.78546976035","Financial District/South Beach","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"3180/007","CA090_Building 352","352 BRIGHTON AVE","94112","99,351","Mixed Residential","https://sfplanninggis.org/PIM/?tab=Property&search=3180/007","2012",,,"POINT (-122.455044821 37.723992572)","-122.4550448208","37.72399257174","West of Twin Peaks","7","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0134/001","Abbott Building","1045 SANSOME ST","94133","84,149","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0134/001","1926","04/01/2024","Did Not Comply","POINT (-122.402865043 37.799797728)","-122.40286504339","37.79979772821","North Beach","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0349/013","133 GOLDEN GATE AVE","133 GOLDEN GATE AVE","94102","10,120","Commercial","https://sfplanninggis.org/PIM/?tab=Property&search=0349/013","1960","04/01/2013","Did Not Comply","POINT (-122.412848765 37.781835994)","-122.41284876484","37.78183599414","Tenderloin","5","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
"0224/078","YWCA APARTMENTS","965 CLAY ST","94108","216,600","Mixed Residential","https://sfplanninggis.org/PIM/?tab=Property&search=0224/078","1932",,,"POINT (-122.409103103 37.793609628)","-122.40910310288","37.79360962823","Chinatown","3","2026/03/13 12:35:06 PM","2026/03/13 05:06:43 PM"
